,delta_time
27552,13
27553,6
27554,9
27555,5
27556,5
27557,5
27558,20
27559,10
27560,9
27561,19
27562,23
27563,34
27564,9
27565,5
27566,9
27567,8
27568,10
27569,15
27570,9
27571,5
27572,14
27573,13
27574,12
27575,16
27576,19
27577,9
27578,8
27579,9
27580,9
27581,9
27582,9
27583,20
27584,9
27585,13
27586,14
27587,5
27588,9
27589,19
27590,19
27591,7
27592,20
27593,7
27594,24
27595,6
27596,13
27597,12
27598,21
27599,20
27600,13
27601,9
27602,14
27603,8
27604,8
27605,7
27606,19
27607,6
27608,6
27609,14
27610,8
27611,16
27612,12
27613,11
27614,7
27615,19
27616,19
27617,20
27618,5
27619,7
27620,11
27621,13
27622,9
27623,19
27624,11
27625,12
27626,11
27627,18
27628,8
27629,13
27630,19
27631,19
27632,19
27633,5
27634,11
27635,8
27636,11
27637,8
27638,12
27639,7
27640,18
27641,7
27642,7
27643,7
27644,15
27645,19
27646,19
27647,13
27648,11
27649,18
27650,15
27651,6
27652,6
27653,8
27654,12
27655,22
27656,14
27657,22
27658,4
27659,6
27660,12
27661,12
27662,9
27663,27
27664,5
27665,14
27666,12
27667,11
27668,11
27669,19
27670,5
27671,15
27672,8
27673,6
27674,9
27675,12
27676,12
27677,28
27678,12
27679,15
27680,15
27681,7
27682,30
27683,7
27684,12
27685,12
27686,32
27687,7
27688,7
27689,6
27690,7
27691,18
27692,7
27693,13
27694,28
27695,15
27696,13
27697,8
27698,7
27699,15
27700,12
27701,13
27702,7
27703,15
27704,6
27705,12
27706,12
27707,11
27708,12
27709,8
27710,11
27711,11
27712,15
27713,7
27714,15
27715,20
27716,13
27717,12
27718,14
27719,11
27720,6
27721,40
27722,36
27723,8
27724,8
27725,13
27726,14
27727,8
27728,41
27729,6
27730,8
27731,36
27732,6
27733,15
27734,8
27735,12
27736,14
27737,11
27738,7
27739,11
27740,6
27741,4
27742,11
27743,14
27744,5
27745,9
27746,10
27747,10
27748,13
27749,11
27750,3
27751,13
27752,4
27753,4
27754,12
27755,13
27756,15
27757,14
27758,11
27759,10
27760,12
27761,11
27762,11
27763,6
27764,11
27765,19
27766,11
27767,12
27768,4
27769,17
27770,12
27771,10
27772,12
27773,10
27774,5
27775,14
27776,11
27777,4
27778,12
27779,12
27780,19
27781,19
27782,3
27783,5
27784,10
27785,18
27786,12
27787,6
27788,6
27789,5
27790,8
27791,13
27792,4
27793,5
27794,10
27795,10
27796,12
27797,7
27798,10
27799,12
27800,12
27801,14
27802,14
27803,15
27804,7
27805,7
27806,11
27807,17
27808,14
27809,19
27810,5
27811,10
27812,13
27813,11
27814,27
27815,12
27816,18
27817,7
27818,8
27819,12
27820,5
27821,11
27822,6
27823,24
27824,12
27825,12
27826,11
27827,18
27828,13
27829,18
27830,11
27831,14
27832,13
27833,18
27834,4
27835,18
27836,12
27837,5
27838,12
27839,7
27840,22
27841,7
27842,13
27843,17
27844,6
27845,19
27846,68
27847,10
27848,6
27849,24
27850,26
27851,83
27852,10
27853,6
27854,14
27855,12
27856,18
27857,19
27858,7
27859,8
27860,13
27861,12
27862,10
27863,11
27864,14
27865,10
27866,6
27867,7
27868,41
27869,10
27870,25
27871,15
27872,17
27873,13
27874,36
27875,6
27876,11
27877,12
27878,13
27879,13
27880,7
27881,10
27882,7
27883,38
27884,12
27885,11
27886,4
27887,4
27888,7
27889,17
27890,11
27891,13
27892,13
27893,12
27894,5
27895,13
27896,7
27897,18
27898,6
27899,10
27900,4
27901,5
27902,6
27903,16
27904,11
27905,10
27906,19
27907,16
27908,6
27909,8
27910,20
27911,14
27912,5
27913,10
27914,9
27915,5
27916,10
27917,12
27918,18
27919,7
27920,9
27921,3
27922,11
27923,11
27924,18
27925,17
27926,10
27927,6
27928,5
27929,30
27930,20
27931,12
27932,9
27933,5
27934,10
27935,31
27936,10
27937,7
27938,46
27939,7
27940,20
27941,9
27942,9
27943,20
27944,12
27945,6
27946,17
27947,5
27948,11
27949,6
27950,16
27951,5
27952,12
27953,33
27954,6
27955,3
27956,11
27957,5
27958,5
27959,13
27960,6
27961,11
27962,4
27963,3
27964,6
27965,12
27966,12
27967,5
27968,9
27969,9
27970,5
27971,6
27972,5
27973,9
27974,10
27975,5
27976,5
27977,12
27978,12
27979,13
27980,10
27981,6
27982,13
27983,10
27984,6
27985,11
27986,9
27987,11
27988,30
27989,17
27990,12
27991,8
27992,11
27993,7
27994,6
27995,10
27996,16
27997,5
27998,23
27999,20
28000,11
28001,9
28002,13
28003,10
28004,23
28005,4
28006,11
28007,5
28008,8
28009,2
28010,8
28011,8
28012,8
28013,17
28014,9
28015,3
28016,10
28017,4
28018,8
28019,13
28020,19
28021,10
28022,17
28023,10
28024,19
28025,4
28026,5
28027,5
28028,20
28029,13
28030,8
28031,10
28032,8
28033,6
28034,3
28035,12
28036,2
28037,10
28038,13
28039,9
28040,10
28041,20
28042,4
28043,24
28044,5
28045,5
28046,8
28047,4
28048,11
28049,8
28050,11
28051,9
28052,4
28053,24
28054,11
28055,4
28056,9
28057,9
28058,9
28059,3
28060,10
28061,17
28062,4
28063,12
28064,2
28065,12
28066,8
28067,10
28068,20
28069,9
28070,4
28071,15
28072,3
28073,12
28074,11
28075,5
28076,11
28077,5
28078,23
28079,9
28080,12
28081,11
28082,19
28083,8
28084,8
28085,12
28086,8
28087,5
28088,11
28089,9
28090,2
28091,10
28092,11
28093,9
28094,10
28095,34
28096,26
28097,16
28098,9
28099,19
28100,23
28101,9
28102,17
28103,3
28104,3
28105,13
28106,8
28107,15
28108,10
28109,13
28110,15
28111,11
28112,9
28113,12
28114,8
28115,6
28116,4
28117,6
28118,12
28119,4
28120,15
28121,3
28122,2
28123,7
28124,2
28125,9
28126,49
28127,7
28128,8
28129,21
28130,3
28131,7
28132,2
28133,24
28134,7
28135,8
28136,13
28137,12
28138,2
28139,10
28140,11
28141,21
28142,16
28143,21
28144,9
28145,5
28146,11
28147,11
28148,8
28149,4
28150,10
28151,2
28152,37
28153,8
28154,7
28155,7
28156,16
28157,4
28158,10
28159,16
28160,7
28161,11
28162,23
28163,29
28164,11
28165,14
28166,15
28167,15
28168,2
28169,10
28170,15
28171,9
28172,7
28173,8
28174,7
28175,8
28176,11
28177,9
28178,8
28179,12
28180,15
28181,11
28182,4
28183,9
28184,3
28185,2
28186,10
28187,2
28188,7
28189,7
28190,7
28191,10
28192,7
28193,9
28194,1
28195,9
28196,9
28197,4
28198,23
28199,9
28200,3
28201,3
28202,15
28203,7
28204,7
28205,23
28206,15
28207,8
28208,25
28209,32
28210,11
28211,8
28212,18
28213,11
28214,11
28215,9
28216,24
28217,9
28218,16
28219,18
28220,4
28221,71
28222,5
28223,8
28224,9
28225,7
28226,8
28227,10
28228,15
28229,4
28230,14
28231,15
28232,8
28233,9
28234,11
28235,10
28236,9
28237,7
28238,3
28239,16
28240,7
28241,8
28242,11
28243,3
28244,9
28245,4
28246,14
28247,11
28248,28
28249,7
28250,29
28251,18
28252,7
28253,12
28254,10
28255,5
28256,21
28257,3
28258,9
28259,14
28260,9
28261,10
28262,9
28263,14
28264,12
28265,7
28266,3
28267,7
28268,10
28269,10
28270,11
28271,7
28272,7
28273,9
28274,29
28275,8
28276,7
28277,7
28278,9
28279,4
28280,11
28281,25
28282,2
28283,9
28284,42
28285,7
28286,9
28287,18
28288,11
28289,32
28290,8
28291,18
28292,10
28293,7
28294,4
28295,23
28296,3
28297,14
28298,23
28299,8
28300,16
28301,7
28302,7
28303,2
28304,8
28305,21
28306,24
28307,7
28308,27
28309,13
28310,13
28311,65
28312,30
28313,9
28314,2
28315,3
28316,7
28317,9
28318,7
28319,10
28320,3
28321,17
28322,18
28323,8
28324,7
28325,9
28326,9
28327,2
28328,7
28329,7
28330,10
28331,23
28332,13
28333,20
28334,6
28335,8
28336,31
28337,17
28338,10
28339,27
28340,3
28341,9
28342,9
28343,10
28344,7
28345,7
28346,7
28347,9
28348,7
28349,6
28350,28
28351,13
28352,9
28353,27
28354,22
28355,21
28356,17
28357,15
28358,14
28359,8
28360,6
28361,3
28362,2
28363,8
28364,9
28365,6
28366,10
28367,31
28368,21
28369,13
28370,17
28371,9
28372,2
28373,5
28374,13
28375,10
28376,8
28377,7
28378,6
28379,17
28380,7
28381,25
28382,15
28383,15
28384,8
28385,3
28386,3
28387,10
28388,14
28389,8
28390,13
28391,2
28392,8
28393,9
28394,8
28395,21
28396,8
28397,8
28398,7
28399,8
28400,6
28401,11
28402,4
28403,4
28404,23
28405,8
28406,6
28407,8
28408,9
28409,8
28410,13
28411,2
28412,8
28413,15
28414,7
28415,6
28416,27
28417,14
28418,11
28419,10
28420,6
28421,9
28422,13
28423,7
28424,3
28425,20
28426,6
28427,30
28428,8
28429,9
28430,3
28431,15
28432,7
28433,7
28434,14
28435,13
28436,7
28437,24
28438,10
28439,28
28440,21
28441,7
28442,23
28443,27
28444,8
28445,13
28446,3
28447,18
28448,7
28449,9
28450,8
28451,13
28452,14
28453,6
28454,23
28455,7
28456,30
28457,44
28458,3
28459,7
28460,24
28461,2
28462,2
28463,6
28464,21
28465,14
28466,2
28467,10
28468,2
28469,3
28470,7
28471,17
28472,13
28473,15
28474,20
28475,20
28476,17
28477,6
28478,13
28479,7
28480,10
28481,23
28482,8
28483,23
28484,13
28485,14
28486,15
28487,3
28488,16
28489,9
28490,7
28491,6
28492,7
28493,10
28494,16
28495,6
28496,28
28497,8
28498,29
28499,1
28500,8
28501,7
28502,5
28503,14
28504,6
28505,16
28506,6
28507,5
28508,5
28509,13
28510,6
28511,9
28512,7
28513,22
28514,21
28515,2
28516,16
28517,13
28518,5
28519,16
28520,14
28521,13
28522,2
28523,9
28524,6
28525,1
28526,16
28527,8
28528,7
28529,5
28530,7
28531,19
28532,24
28533,6
28534,6
28535,10
28536,1
28537,40
28538,9
28539,6
28540,5
28541,6
28542,8
28543,19
28544,14
28545,7
28546,13
28547,20
28548,5
28549,13
28550,5
28551,9
28552,19
28553,8
28554,9
28555,6
28556,7
28557,13
28558,7
28559,21
28560,1
28561,12
28562,9
28563,13
28564,6
28565,7
28566,13
28567,12
28568,8
28569,5
28570,6
28571,10
28572,19
28573,40
28574,13
28575,14
28576,6
28577,13
28578,13
28579,7
28580,7
28581,21
28582,5
28583,8
28584,7
28585,8
28586,3
28587,8
28588,8
28589,2
28590,6
28591,6
28592,6
28593,19
28594,6
28595,5
28596,15
28597,7
28598,13
28599,9
28600,9
28601,16
28602,28
28603,13
28604,13
28605,16
28606,22
28607,6
28608,9
28609,2
28610,14
28611,5
28612,23
28613,2
28614,20
28615,5
28616,19
28617,7
28618,6
28619,13
28620,7
28621,5
28622,20
28623,26
28624,20
28625,9
28626,16
28627,7
28628,16
28629,6
28630,9
28631,5
28632,7
28633,14
28634,14
28635,7
28636,27
28637,9
28638,19
28639,5
28640,2
28641,13
28642,16
28643,9
28644,9
28645,12
28646,6
28647,21
28648,7
28649,14
28650,8
28651,19
28652,10
28653,8
28654,13
28655,17
28656,8
28657,10
28658,6
28659,9
28660,14
28661,3
28662,14
28663,17
28664,5
28665,18
28666,21
28667,13
28668,6
28669,7
28670,5
28671,4
28672,15
28673,12
28674,32
28675,11
28676,4
28677,11
28678,13
28679,7
28680,11
28681,7
28682,18
28683,5
28684,4
28685,7
28686,4
28687,11
28688,9
28689,13
28690,11
28691,6
28692,2
28693,6
28694,18
28695,7
28696,25
28697,21
28698,8
28699,6
28700,7
28701,9
28702,2
28703,4
28704,9
28705,11
28706,6
28707,18
28708,6
28709,12
28710,19
28711,6
28712,8
28713,16
28714,11
28715,7
28716,6
28717,12
28718,15
28719,13
28720,4
28721,15
28722,15
28723,11
28724,15
28725,8
28726,12
28727,1
28728,28
28729,18
28730,5
28731,15
28732,8
28733,7
28734,6
28735,12
28736,43
28737,21
28738,26
28739,6
28740,8
28741,11
28742,2
28743,8
28744,5
28745,8
28746,40
28747,5
28748,8
28749,12
28750,5
28751,7
28752,5
28753,8
28754,8
28755,13
28756,15
28757,11
28758,25
28759,4
28760,12
28761,12
28762,15
28763,15
28764,12
28765,8
28766,18
28767,18
28768,8
28769,4
28770,13
28771,8
28772,6
28773,22
28774,6
28775,9
28776,4
28777,8
28778,4
28779,13
28780,7
28781,21
28782,15
28783,35
28784,13
28785,5
28786,4
28787,20
28788,15
28789,5
28790,13
28791,19
28792,7
28793,18
28794,9
28795,8
28796,12
28797,11
28798,7
28799,7
28800,26
28801,7
28802,15
28803,4
28804,13
28805,6
28806,15
28807,12
28808,7
28809,19
28810,11
28811,15
28812,18
28813,5
28814,15
28815,50
28816,12
28817,7
28818,8
28819,20
28820,7
28821,6
28822,6
28823,15
28824,12
28825,7
28826,32
28827,19
28828,19
28829,15
28830,8
28831,7
28832,5
28833,6
28834,2
28835,6
28836,6
28837,8
28838,12
28839,17
28840,20
28841,12
28842,5
28843,4
28844,6
28845,18
28846,5
28847,22
28848,5
28849,14
28850,17
28851,21
28852,7
28853,10
28854,3
28855,11
28856,10
28857,6
28858,10
28859,21
28860,6
28861,18
28862,4
28863,6
28864,5
28865,6
28866,12
28867,15
28868,8
28869,10
28870,11
28871,6
28872,6
28873,6
28874,11
28875,6
28876,11
28877,11
28878,4
28879,10
28880,1
28881,7
28882,15
28883,20
28884,17
28885,5
28886,18
28887,17
28888,48
28889,12
28890,27
28891,5
28892,17
28893,7
28894,11
28895,12
28896,18
28897,7
28898,7
28899,5
28900,21
28901,4
28902,7
28903,18
28904,7
28905,12
28906,7
28907,7
28908,10
28909,7
28910,10
28911,6
28912,11
28913,6
28914,7
28915,10
28916,4
28917,19
28918,21
28919,5
28920,10
28921,12
28922,40
28923,21
28924,11
28925,12
28926,7
28927,25
28928,10
28929,5
28930,21
28931,17
28932,11
28933,11
28934,31
28935,4
28936,7
28937,31
28938,11
28939,18
28940,18
28941,24
28942,5
28943,6
28944,28
28945,11
28946,22
28947,4
28948,19
28949,17
28950,7
28951,5
28952,13
28953,10
28954,4
28955,6
28956,4
28957,4
28958,10
28959,10
28960,6
28961,6
28962,13
28963,4
28964,18
28965,5
28966,6
28967,10
28968,18
28969,18
28970,11
28971,4
28972,9
28973,9
28974,3
28975,5
28976,7
28977,5
28978,11
28979,7
28980,26
28981,26
28982,9
28983,17
28984,25
28985,5
28986,6
28987,6
28988,16
28989,20
28990,16
28991,18
28992,18
28993,14
28994,3
28995,9
28996,3
28997,10
28998,20
28999,5
29000,10
29001,10
29002,13
29003,9
29004,10
29005,20
29006,12
29007,27
29008,17
29009,10
29010,11
29011,10
29012,6
29013,4
29014,9
29015,11
29016,6
29017,6
29018,16
29019,13
29020,6
29021,9
29022,3
29023,10
29024,9
29025,38
29026,7
29027,6
29028,24
29029,18
29030,10
29031,10
29032,13
29033,4
29034,3
29035,16
29036,14
29037,7
29038,3
29039,9
29040,4
29041,9
29042,10
29043,9
29044,3
29045,11
29046,16
29047,23
29048,20
29049,9
29050,3
29051,21
29052,16
29053,11
29054,10
29055,12
29056,16
29057,9
29058,15
29059,5
29060,12
29061,2
29062,3
29063,10
29064,9
29065,2
29066,4
29067,8
29068,26
29069,12
29070,12
29071,9
29072,8
29073,8
29074,5
29075,16
29076,66
29077,5
29078,11
29079,15
29080,8
29081,9
29082,8
29083,10
29084,17
29085,2
29086,12
29087,12
29088,4
29089,6
29090,6
29091,8
29092,10
29093,31
29094,3
29095,2
29096,15
29097,9
29098,19
29099,8
29100,12
29101,4
29102,8
29103,8
29104,17
29105,10
29106,12
29107,9
29108,5
29109,4
29110,13
29111,10
29112,3
29113,15
29114,5
29115,5
29116,15
29117,6
29118,9
29119,5
29120,8
29121,16
29122,5
29123,4
29124,12
29125,9
29126,18
29127,9
29128,25
29129,9
29130,12
29131,8
29132,33
29133,15
29134,10
29135,17
29136,2
29137,2
29138,4
29139,6
29140,5
29141,2
29142,47
29143,2
29144,5
29145,8
29146,5
29147,4
29148,9
29149,9
29150,9
29151,12
29152,4
29153,16
29154,110
29155,5
29156,11
29157,4
29158,4
29159,4
29160,12
29161,4
29162,9
29163,3
29164,8
29165,8
29166,9
29167,9
29168,9
29169,16
29170,12
29171,9
29172,10
29173,2
29174,10
29175,8
29176,2
29177,9
29178,10
29179,9
29180,9
29181,16
29182,9
29183,41
29184,4
29185,8
29186,16
29187,43
29188,15
29189,4
29190,5
29191,17
29192,10
29193,8
29194,6
29195,5
29196,3
29197,9
29198,10
29199,13
29200,10
29201,5
29202,11
29203,14
29204,14
29205,17
29206,1
29207,11
29208,1
29209,14
29210,9
29211,1
29212,15
29213,16
29214,8
29215,14
29216,11
29217,4
29218,1
29219,14
29220,8
29221,7
29222,9
29223,15
29224,1
29225,15
29226,2
29227,1
29228,3
29229,10
29230,11
29231,16
29232,11
29233,8
29234,11
29235,1
29236,1
29237,24
29238,21
29239,4
29240,32
29241,2
29242,8
29243,11
29244,8
29245,9
29246,3
29247,3
29248,4
29249,11
29250,5
29251,31
29252,14
29253,4
29254,9
29255,30
29256,28
29257,11
29258,8
29259,4
29260,7
29261,9
29262,16
29263,8
29264,14
29265,8
29266,10
29267,9
29268,8
29269,4
29270,16
29271,11
29272,3
29273,4
29274,8
29275,4
29276,9
29277,8
29278,11
29279,3
29280,11
29281,14
29282,23
29283,4
29284,8
29285,15
29286,15
29287,7
29288,9
29289,8
29290,3
29291,26
29292,16
29293,16
29294,11
29295,5
29296,4
29297,16
29298,9
29299,7
29300,8
29301,7
29302,15
29303,35
29304,5
29305,11
29306,25
29307,15
29308,3
29309,8
29310,2
29311,9
29312,9
29313,11
29314,11
29315,8
29316,14
29317,9
29318,18
29319,15
29320,15
29321,4
29322,15
29323,9
29324,17
29325,3
29326,4
29327,4
29328,4
29329,9
29330,15
29331,15
29332,14
29333,4
29334,8
29335,11
29336,8
29337,18
29338,15
29339,18
29340,14
29341,9
29342,15
29343,11
29344,9
29345,11
29346,24
29347,7
29348,9
29349,32
29350,30
29351,15
29352,2
29353,3
29354,6
29355,10
29356,8
29357,13
29358,17
29359,13
29360,14
29361,3
29362,10
29363,2
29364,10
29365,20
29366,10
29367,11
29368,34
29369,10
29370,18
29371,7
29372,7
29373,10
29374,3
29375,10
29376,14
29377,7
29378,16
29379,6
29380,10
29381,10
29382,17
29383,6
29384,10
29385,15
29386,29
29387,11
29388,8
29389,2
29390,10
29391,13
29392,7
29393,16
29394,14
29395,2
29396,14
29397,8
29398,15
29399,2
29400,16
29401,3
29402,3
29403,8
29404,4
29405,13
29406,3
29407,10
29408,14
29409,10
29410,17
29411,7
29412,10
29413,6
29414,8
29415,15
29416,29
29417,10
29418,16
29419,15
29420,7
29421,3
29422,42
29423,13
29424,7
29425,43
29426,24
29427,2
29428,7
29429,8
29430,2
29431,8
29432,8
29433,7
29434,8
29435,6
29436,13
29437,2
29438,7
29439,13
29440,8
29441,7
29442,27
29443,10
29444,14
29445,30
29446,6
29447,6
29448,7
29449,7
29450,23
29451,6
29452,22
29453,8
29454,3
29455,7
29456,10
29457,2
29458,14
29459,8
29460,42
29461,6
29462,21
29463,8
29464,24
29465,14
29466,11
29467,20
29468,8
29469,6
29470,6
29471,7
29472,6
29473,8
29474,15
29475,14
29476,2
29477,14
29478,7
29479,2
29480,14
29481,4
29482,10
29483,6
29484,27
29485,8
29486,10
29487,7
29488,6
29489,6
29490,8
29491,3
29492,7
29493,13
29494,13
29495,8
29496,11
29497,16
29498,2
29499,10
29500,8
29501,6
29502,16
29503,6
29504,6
29505,7
29506,7
29507,8
29508,14
29509,12
29510,19
29511,13
29512,6
29513,19
29514,12
29515,13
29516,12
29517,6
29518,13
29519,7
29520,15
29521,7
29522,12
29523,1
29524,22
29525,15
29526,22
29527,14
29528,8
29529,12
29530,9
29531,9
29532,28
29533,14
29534,19
29535,19
29536,9
29537,7
29538,20
29539,19
29540,10
29541,7
29542,12
29543,2
29544,7
29545,9
29546,7
29547,15
29548,13
29549,7
29550,14
29551,2
29552,9
29553,13
29554,9
29555,7
29556,9
29557,13
29558,14
29559,10
29560,7
29561,2
29562,12
29563,13
29564,3
29565,5
29566,9
29567,5
29568,12
29569,15
29570,12
29571,7
29572,7
29573,6
29574,19
29575,12
29576,7
29577,9
29578,2
29579,14
29580,9
29581,13
29582,5
29583,31
29584,10
29585,7
29586,7
29587,12
29588,2
29589,22
29590,5
29591,2
29592,16
29593,7
29594,5
29595,7
29596,13
29597,13
29598,6
29599,16
29600,6
29601,19
29602,9
29603,37
29604,13
29605,17
29606,6
29607,19
29608,43
29609,2
29610,20
29611,2
29612,6
29613,12
29614,12
29615,10
29616,17
29617,12
29618,2
29619,13
29620,12
29621,13
29622,14
29623,7
29624,20
29625,6
29626,12
29627,14
29628,9
29629,14
29630,19
29631,13
29632,13
29633,12
29634,12
29635,7
29636,12
29637,34
29638,19
29639,3
29640,7
29641,12
29642,15
29643,9
29644,7
29645,9
29646,7
29647,9
29648,19
29649,5
29650,14
29651,34
29652,12
29653,9
29654,2
29655,9
29656,21
29657,27
29658,16
29659,15
29660,4
29661,1
29662,4
29663,15
29664,11
29665,5
29666,4
29667,8
29668,6
29669,11
29670,5
29671,4
29672,25
29673,36
29674,5
29675,8
29676,15
29677,6
29678,2
29679,11
29680,14
29681,6
29682,32
29683,9
29684,12
29685,2
29686,8
29687,14
29688,18
29689,8
29690,8
29691,6
29692,21
29693,9
29694,12
29695,11
29696,13
29697,11
29698,13
29699,13
29700,5
29701,11
29702,13
29703,5
29704,8
29705,12
29706,11
29707,4
29708,2
29709,12
29710,12
29711,8
29712,8
29713,6
29714,27
29715,14
29716,14
29717,11
29718,8
29719,12
29720,32
29721,18
29722,22
29723,13
29724,13
29725,29
29726,11
29727,8
29728,5
29729,19
29730,11
29731,13
29732,29
29733,11
29734,8
29735,13
29736,18
29737,6
29738,4
29739,13
29740,13
29741,19
29742,13
29743,5
29744,8
29745,12
29746,13
29747,11
29748,5
29749,15
29750,8
29751,18
29752,6
29753,12
29754,8
29755,14
29756,19
29757,5
29758,19
29759,8
29760,8
29761,26
29762,6
29763,8
29764,14
29765,11
29766,13
29767,12
29768,5
29769,8
29770,6
29771,8
29772,8
29773,12
29774,11
29775,12
29776,11
29777,14
29778,8
29779,13
29780,12
29781,12
29782,11
29783,11
29784,13
29785,22
29786,8
29787,5
29788,6
29789,4
29790,12
29791,5
29792,12
29793,12
29794,14
29795,11
29796,11
29797,15
29798,10
29799,18
29800,19
29801,5
29802,20
29803,12
29804,17
29805,11
29806,17
29807,12
29808,10
29809,7
29810,10
29811,19
29812,7
29813,4
29814,10
29815,14
29816,17
29817,10
29818,11
29819,20
29820,14
29821,13
29822,7
29823,14
29824,4
29825,10
29826,10
29827,8
29828,10
29829,5
29830,12
29831,12
29832,3
29833,18
29834,11
29835,4
29836,11
29837,18
29838,4
29839,20
29840,12
29841,15
29842,19
29843,18
29844,11
29845,11
29846,4
29847,10
29848,12
29849,13
29850,11
29851,7
29852,10
29853,11
29854,4
29855,11
29856,11
29857,11
29858,7
29859,29
29860,18
29861,12
29862,12
29863,12
29864,25
29865,11
29866,10
29867,11
29868,4
29869,26
29870,12
29871,11
29872,14
29873,5
29874,11
29875,12
29876,13
29877,10
29878,10
29879,10
29880,12
29881,17
29882,12
29883,7
29884,5
29885,21
29886,21
29887,74
29888,29
29889,11
29890,12
29891,8
29892,12
29893,11
29894,7
29895,5
29896,7
29897,33
29898,11
29899,10
29900,29
29901,5
29902,5
29903,28
29904,10
29905,4
29906,5
29907,17
29908,17
29909,18
29910,24
29911,7
29912,4
29913,11
29914,12
29915,4
29916,14
29917,26
29918,12
29919,11
29920,12
29921,31
29922,6
29923,12
29924,19
29925,6
29926,6
29927,25
29928,11
29929,12
29930,10
29931,19
29932,20
29933,42
29934,10
29935,4
29936,24
29937,6
29938,4
29939,11
29940,27
29941,4
29942,11
29943,9
29944,10
29945,7
29946,26
29947,11
29948,16
29949,35
29950,7
29951,26
29952,13
29953,6
29954,24
29955,11
29956,6
29957,9
29958,20
29959,13
29960,12
29961,10
29962,9
29963,4
29964,7
29965,17
29966,3
29967,11
29968,6
29969,16
29970,14
29971,38
29972,10
29973,10
29974,6
29975,4
29976,11
29977,16
29978,9
29979,19
29980,9
29981,18
29982,6
29983,17
29984,22
29985,7
29986,9
29987,9
29988,6
29989,17
29990,12
29991,17
29992,4
29993,4
29994,9
29995,10
29996,10
29997,13
29998,11
29999,6
30000,16
30001,17
30002,3
30003,10
30004,10
30005,19
30006,9
30007,20
30008,2
30009,9
30010,18
30011,11
30012,15
30013,15
30014,8
30015,8
30016,16
30017,11
30018,15
30019,12
30020,6
30021,2
30022,2
30023,17
30024,12
30025,15
30026,5
30027,9
30028,11
30029,5
30030,8
30031,15
30032,8
30033,10
30034,33
30035,10
30036,9
30037,9
30038,11
30039,8
30040,8
30041,15
30042,5
30043,37
30044,11
30045,34
30046,3
30047,8
30048,8
30049,2
30050,18
30051,11
30052,11
30053,3
30054,17
30055,5
30056,8
30057,8
30058,10
30059,5
30060,8
30061,18
30062,2
30063,30
30064,9
30065,5
30066,12
30067,5
30068,12
30069,3
30070,3
30071,8
30072,2
30073,13
30074,2
30075,8
30076,16
30077,15
30078,8
30079,5
30080,13
30081,10
30082,11
30083,12
30084,5
30085,16
30086,5
30087,8
30088,25
30089,12
30090,11
30091,10
30092,8
30093,12
30094,3
30095,16
30096,5
30097,9
30098,10
30099,3
30100,10
30101,24
30102,15
30103,2
30104,8
30105,8
30106,5
30107,23
30108,19
30109,15
30110,5
30111,15
30112,2
30113,19
30114,5
30115,9
30116,17
30117,10
30118,12
30119,25
30120,10
30121,8
30122,16
30123,12
30124,8
30125,13
30126,8
30127,12
30128,11
30129,18
30130,8
30131,11
30132,9
30133,17
30134,8
30135,9
30136,2
30137,5
30138,14
30139,7
30140,4
30141,9
30142,15
30143,7
30144,10
30145,8
30146,4
30147,14
30148,30
30149,2
30150,32
30151,13
30152,4
30153,12
30154,7
30155,4
30156,1
30157,7
30158,11
30159,9
30160,12
30161,30
30162,4
30163,9
30164,4
30165,11
30166,7
30167,17
30168,8
30169,18
30170,9
30171,9
30172,8
30173,9
30174,8
30175,1
30176,14
30177,4
30178,8
30179,14
30180,7
30181,11
30182,4
30183,10
30184,4
30185,4
30186,9
30187,9
30188,8
30189,10
30190,4
30191,11
30192,11
30193,10
30194,9
30195,33
30196,5
30197,25
30198,4
30199,18
30200,9
30201,2
30202,10
30203,15
30204,7
30205,7
30206,7
30207,15
30208,7
30209,11
30210,15
30211,7
30212,19
30213,11
30214,8
30215,15
30216,7
30217,30
30218,4
30219,17
30220,7
30221,7
30222,4
30223,11
30224,14
30225,40
30226,7
30227,15
30228,22
30229,9
30230,7
30231,4
30232,8
30233,4
30234,18
30235,2
30236,12
30237,11
30238,17
30239,24
30240,18
30241,10
30242,14
30243,14
30244,2
30245,10
30246,15
30247,15
30248,8
30249,8
30250,19
30251,9
30252,15
30253,7
30254,8
30255,19
30256,10
30257,46
30258,22
30259,10
30260,8
30261,17
30262,12
30263,11
30264,1
30265,13
30266,6
30267,9
30268,17
30269,7
30270,20
30271,6
30272,3
30273,13
30274,7
30275,7
30276,8
30277,17
30278,10
30279,14
30280,9
30281,9
30282,3
30283,13
30284,10
30285,20
30286,7
30287,14
30288,8
30289,9
30290,6
30291,16
30292,9
30293,13
30294,13
30295,8
30296,3
30297,7
30298,8
30299,13
30300,6
30301,6
30302,8
30303,7
30304,14
30305,13
30306,7
30307,7
30308,21
30309,4
30310,3
30311,1
30312,3
30313,7
30314,14
30315,21
30316,17
30317,3
30318,17
30319,6
30320,13
30321,8
30322,13
30323,6
30324,17
30325,13
30326,9
30327,13
30328,27
30329,13
30330,16
30331,14
30332,17
30333,24
30334,9
30335,29
30336,13
30337,14
30338,18
30339,8
30340,13
30341,24
30342,31
30343,21
30344,7
30345,7
30346,8
30347,7
30348,18
30349,10
