,delta_time
798,27
799,7
800,17
801,7
802,8
803,11
804,16
805,6
806,17
807,26
808,11
809,19
810,6
811,11
812,14
813,17
814,11
815,14
816,14
817,10
818,10
819,20
820,13
821,13
822,10
823,24
824,10
825,6
826,5
827,12
828,13
829,13
830,14
831,10
832,6
833,18
834,20
835,9
836,11
837,12
838,16
839,10
840,12
841,34
842,9
843,4
844,19
845,19
846,13
847,9
848,10
849,13
850,13
851,16
852,3
853,18
854,11
855,9
856,16
857,13
858,23
859,5
860,9
861,11
862,9
863,12
864,16
865,8
866,103
867,17
868,17
869,8
870,10
871,44
872,4
873,10
874,8
875,9
876,10
877,10
878,5
879,10
880,15
881,15
882,4
883,11
884,15
885,4
886,9
887,4
888,10
889,5
890,9
891,11
892,7
893,10
894,11
895,8
896,8
897,11
898,3
899,8
900,9
901,22
902,9
903,4
904,9
905,9
906,16
907,18
908,4
909,11
910,9
911,14
912,17
913,1
914,21
915,7
916,21
917,10
918,18
919,9
920,8
921,10
922,9
923,21
924,8
925,9
926,14
927,4
928,10
929,14
930,22
931,9
932,11
933,15
934,10
935,18
936,16
937,6
938,16
939,7
940,17
941,14
942,15
943,8
944,6
945,9
946,14
947,42
948,2
949,8
950,14
951,6
952,9
953,8
954,7
955,9
956,7
957,13
958,13
959,9
960,17
961,10
962,13
963,14
964,17
965,8
966,7
967,7
968,14
969,7
970,41
971,8
972,9
973,10
974,14
975,10
976,3
977,7
978,14
979,10
980,6
981,7
982,9
983,43
984,20
985,14
986,58
987,14
988,8
989,20
990,14
991,8
992,7
993,30
994,7
995,41
996,13
997,8
998,8
999,15
1000,16
1001,16
1002,6
1003,14
1004,6
1005,14
1006,12
1007,5
1008,14
1009,12
1010,6
1011,14
1012,15
1013,7
1014,7
1015,7
1016,7
1017,15
1018,29
1019,8
1020,12
1021,8
1022,12
1023,9
1024,9
1025,9
1026,6
1027,14
1028,13
1029,6
1030,5
1031,6
1032,8
1033,12
1034,29
1035,36
1036,6
1037,14
1038,15
1039,6
1040,15
1041,37
1042,9
1043,16
1044,21
1045,14
1046,13
1047,28
1048,9
1049,16
1050,7
1051,7
1052,13
1053,6
1054,13
1055,8
1056,6
1057,8
1058,6
1059,7
1060,8
1061,6
1062,15
1063,18
1064,11
1065,11
1066,4
1067,15
1068,11
1069,14
1070,8
1071,7
1072,27
1073,14
1074,8
1075,12
1076,43
1077,11
1078,27
1079,6
1080,11
1081,8
1082,11
1083,20
1084,12
1085,6
1086,12
1087,13
1088,4
1089,11
1090,8
1091,11
1092,6
1093,8
1094,12
1095,33
1096,5
1097,8
1098,12
1099,8
