,W,DDD,product_count,distance
139,300,748,1,303.36682528642996
140,443,4641,1,682.6292563682174
141,443,4641,1,130.3930632382325
142,400,1056,1,574.8018749064452
143,8975,65520,1,295.7474647032192
144,1100,8866,1,107.55513086727537
145,1300,3864,1,438.3784693156281
146,9200,78400,1,361.2135122872465
147,200,26250,1,428.8981976752485
148,2100,35200,1,0.0
149,1400,8000,1,695.3726494664733
150,541,5040,1,162.50376329477496
151,2079,19440,2,0.0
152,1000,3456,1,0.0
153,1700,4624,3,0.0
154,300,2448,1,350.89588829514685
155,100,8000,1,449.81412987366343
156,1700,53950,1,342.48075439544374
157,400,8004,1,800.1745243155735
158,1700,4500,1,338.4160264555736
159,375,3120,1,469.7365100697532
160,2138,36036,1,317.2178843925245
161,610,4928,1,85.38382681890104
162,411,7581,1,85.38382681890104
163,1150,7680,1,899.4937839017383
164,1260,8640,2,67.0410590822223
165,2000,13125,1,349.0869758576549
166,700,5184,1,411.6154512055896
167,100,4913,1,795.9281034128461
168,900,12000,1,430.2029618827176
169,1300,8000,1,0.0
170,300,1584,1,507.9502231089684
171,20900,96000,1,343.89957688663185
172,3600,12000,1,624.9002979928551
173,5100,54000,1,813.3565548858027
174,300,1560,1,0.0
175,400,6615,1,414.9743495299005
176,7550,42875,1,572.0773451901251
177,850,3315,1,712.0198879928855
178,4700,36000,1,89.74547838782331
179,150,1600,1,486.13219492372735
180,900,8866,3,352.04589991432
181,1000,4096,1,0.0
182,300,2000,1,67.0410590822223
183,418,4256,1,0.0
184,2400,12000,1,284.35806383903747
185,200,704,1,717.2662965508529
186,25400,142080,1,228.53621572431476
187,1700,38700,1,551.743750011809
188,7550,42875,2,433.66434994286635
189,411,7581,1,309.6239796488104
190,700,27216,1,414.9743495299005
191,1000,7680,1,1494.1227319242248
192,900,8000,1,0.0
193,3950,12936,1,322.2616455291451
194,1100,8866,2,107.55513086727537
195,300,1760,1,283.57560416734526
196,1167,19500,1,0.0
197,476,3332,1,0.0
198,3300,42875,1,294.2333985720693
199,2138,36036,2,0.0
200,20200,108000,1,388.475838321624
201,429,5472,1,589.2531138048931
202,250,616,1,173.7704402291157
203,1029,5100,1,309.6239796488104
204,2100,35200,1,0.0
205,338,6912,1,660.9238234206172
206,700,3840,1,1494.1227319242248
207,450,4500,1,732.2759588783247
208,1100,3630,1,294.2333985720693
209,700,7105,1,507.9502231089684
210,600,8470,1,0.0
211,100,8000,1,269.75702245539446
212,1700,31350,1,389.5596721103011
213,100,8000,2,574.8018749064452
214,250,616,1,408.73650845486117
215,400,14000,1,257.6744163837201
216,600,2576,1,509.71874800001257
217,300,20424,1,601.5285074428274
218,1250,9120,1,14.755171435480081
219,1900,11172,1,0.0
220,8975,65520,1,283.57560416734526
221,2250,6600,1,162.91831960098168
222,1400,3840,1,606.9884523673356
223,2100,35200,1,0.0
224,200,1911,1,294.2333985720693
225,400,3240,1,436.78583354471266
226,2000,8400,6,800.1745243155735
227,2500,8704,1,283.17030278024095
228,2000,26640,1,590.390520799868
229,700,5184,1,644.5126446778555
230,10700,64512,1,349.552472172633
